# Sample GNSS log with position jump issues
# Format: timestamp,latitude,longitude,altitude,satellites,hdop,quality
# This log contains simulated position jumps and signal issues

2024-01-22T10:00:00,37.774929,-122.419418,50.0,8,1.2,1
2024-01-22T10:00:01,37.774932,-122.419415,50.5,8,1.2,1
2024-01-22T10:00:02,37.774935,-122.419412,51.0,8,1.3,1
2024-01-22T10:00:03,37.774938,-122.419409,51.2,8,1.2,1
2024-01-22T10:00:04,37.774941,-122.419406,51.5,7,1.4,1
# Position jump occurs here - lost satellites, poor signal
2024-01-22T10:00:05,37.775241,-122.418906,52.0,4,5.8,1
2024-01-22T10:00:06,37.775244,-122.418903,52.2,4,5.9,1
2024-01-22T10:00:07,37.775247,-122.418900,52.5,5,4.2,1
# Recovery
2024-01-22T10:00:08,37.775250,-122.418897,52.8,6,2.8,1
2024-01-22T10:00:09,37.775253,-122.418894,53.0,7,1.9,1
2024-01-22T10:00:10,37.775256,-122.418891,53.2,8,1.3,1
2024-01-22T10:00:11,37.775259,-122.418888,53.5,8,1.2,1
2024-01-22T10:00:12,37.775262,-122.418885,53.8,8,1.2,1
# Another position jump - sudden satellite loss
2024-01-22T10:00:13,37.776062,-122.418085,54.0,3,8.5,1
2024-01-22T10:00:14,37.776065,-122.418082,54.2,3,8.7,1
2024-01-22T10:00:15,37.776068,-122.418079,54.5,4,6.2,1
# Gradual recovery
2024-01-22T10:00:16,37.776071,-122.418076,54.8,5,4.1,1
2024-01-22T10:00:17,37.776074,-122.418073,55.0,6,2.5,1
2024-01-22T10:00:18,37.776077,-122.418070,55.2,7,1.8,1
2024-01-22T10:00:19,37.776080,-122.418067,55.5,8,1.3,1
2024-01-22T10:00:20,37.776083,-122.418064,55.8,8,1.2,1
